Date,Name,Year,Letterboxd URI,Rating
2026-06-18,Obsession,2025,https://boxd.it/PNqo,5
2026-06-26,Inception,2010,https://boxd.it/1skk,5
2026-06-26,Interstellar,2014,https://boxd.it/4VZ8,5
2026-06-26,Project Hail Mary,2026,https://boxd.it/pEeQ,5
2026-06-26,Smile,2022,https://boxd.it/xjfE,3.5
2026-06-26,Smile 2,2024,https://boxd.it/FDA4,3
2026-06-26,Martyrs,2008,https://boxd.it/1Yqu,4
2026-06-26,The Conjuring,2013,https://boxd.it/4sr2,4
2026-06-26,The Conjuring 2,2016,https://boxd.it/7GJg,4
2026-06-26,The Conjuring: The Devil Made Me Do It,2021,https://boxd.it/eXZY,4.5
2026-06-26,The Conjuring: Last Rites,2025,https://boxd.it/Dh8e,3
2026-06-26,Eli,2019,https://boxd.it/hn4S,2
2026-06-26,Insidious,2010,https://boxd.it/H4k,3.5
2026-06-26,Insidious: Chapter 2,2013,https://boxd.it/3dqc,4.5
2026-06-26,Insidious: The Red Door,2023,https://boxd.it/mIIu,4
2026-06-26,The Exorcist,1973,https://boxd.it/1Yoo,3
2026-06-26,The Exorcist: Believer,2023,https://boxd.it/uotK,4
2026-06-26,The Nun,2018,https://boxd.it/fBkw,4
2026-06-26,The Nun II,2023,https://boxd.it/AyRY,4.5
2026-06-26,The Ritual,2017,https://boxd.it/fo0I,3.5
2026-06-26,Hellhole,2022,https://boxd.it/D4BC,4
2026-06-26,Sister Death,2023,https://boxd.it/A4Bc,3.5
2026-06-26,mother!,2017,https://boxd.it/dgRU,4
2026-06-26,Veronica,2017,https://boxd.it/fHXa,4
2026-06-26,Oppenheimer,2023,https://boxd.it/wUow,5
2026-06-26,Midsommar,2019,https://boxd.it/jhxe,3.5
2026-06-26,It,2017,https://boxd.it/bC8e,4
2026-06-26,Deadpool,2016,https://boxd.it/9fOC,5
2026-06-26,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,5
2026-06-26,Spider-Man: Far From Home,2019,https://boxd.it/fegG,4
2026-06-26,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4.5
2026-06-26,The Platform,2019,https://boxd.it/mUm6,4
2026-06-26,The Platform 2,2024,https://boxd.it/Gz88,3
2026-06-26,Dhurandhar,2025,https://boxd.it/NhCI,4
2026-06-26,In the Tall Grass,2019,https://boxd.it/iZpm,2.5
2026-06-26,Bird Box,2018,https://boxd.it/eh1i,3.5
2026-06-26,The Human Centipede (First Sequence),2009,https://boxd.it/18Tu,1.5
2026-06-26,The Human Centipede 2 (Full Sequence),2011,https://boxd.it/2yqg,1
2026-06-26,A Serbian Film,2010,https://boxd.it/2wBc,1
